TAZ,AGG_TAZ,PUMA,DISTRICT,REGION,SCHOOLDISTRICT
907,9,13,2,1,1
908,9,13,2,1,1
1001,10,4,3,1,1
1002,10,999,999,1,1
1003,10,4,3,1,1
1004,10,4,3,1,1
1101,11,17,1,1,1
1102,11,17,1,1,1
1103,11,17,1,1,1
1104,11,17,1,1,1
1201,12,17,1,1,1
1202,12,17,1,1,1
1203,12,17,1,1,1
1204,12,17,1,1,1
1205,12,17,1,1,1
1206,12,17,1,1,1
1207,12,999,999,1,1
1301,13,17,1,1,1
1302,13,17,1,1,1
1303,13,17,1,1,1
1304,13,17,1,1,1
1305,13,999,999,1,1
1306,13,17,1,1,1
1401,14,4,3,1,1
1402,14,4,3,1,1
1403,14,4,3,1,1
1404,14,4,3,1,1
1405,14,4,3,1,1
2001,20,999,999,1,1
2101,21,18,1,1,1
2102,21,18,1,1,1
2103,21,18,1,1,1
2201,22,17,1,1,1
2202,22,17,1,1,1
2203,22,17,1,1,1
2301,23,18,1,1,1
2302,23,18,1,1,1
2303,23,18,1,1,1
2401,24,18,1,1,1
2402,24,18,1,1,1
2403,24,18,1,1,1
2404,24,18,1,1,1
2501,25,18,1,1,1
2502,25,18,1,1,1
2504,25,18,1,1,1
2505,25,18,1,1,1
3001,30,6,3,1,1
3002,30,6,3,1,1
3003,30,6,3,1,1
3004,30,6,3,1,1
3005,30,6,3,1,1
3006,30,6,3,1,1
3101,31,2,3,1,1
3102,31,2,3,1,1
3103,31,2,3,1,1
3104,31,2,3,1,1
3105,31,2,3,1,1
3106,31,2,3,1,1
3107,31,2,3,1,1
3108,31,2,3,1,1
3109,31,2,3,1,1
3110,31,2,3,1,1
3111,31,2,3,1,1
3112,31,2,3,1,1
3113,31,2,3,1,1
3201,32,6,3,1,1
3202,32,6,3,1,1
3203,32,6,3,1,1
3204,32,6,3,1,1
3205,32,6,3,1,1
3206,32,6,3,1,1
3207,32,6,3,1,1
3301,33,6,3,1,1
3302,33,6,3,1,1
3303,33,6,3,1,1
3304,33,6,3,1,1
3305,33,6,3,1,1
3306,33,999,999,1,1
3307,33,999,999,1,1
3308,33,6,3,1,1
3309,33,6,3,1,1
3310,33,6,3,1,1
3401,34,6,3,1,1
3402,34,6,3,1,1
3403,34,6,3,1,1
3404,34,6,3,1,1
3405,34,6,3,1,1
3501,35,6,3,1,1
3502,35,6,3,1,1
3503,35,6,3,1,1
3504,35,6,3,1,1
3505,35,6,3,1,1
3506,35,6,3,1,1
3507,35,6,3,1,1
3508,35,6,3,1,1
3509,35,6,3,1,1
3601,36,18,1,1,1
3602,36,18,1,1,1
3603,36,18,1,1,1
3604,36,18,1,1,1
3605,36,18,1,1,1
3606,36,18,1,1,1
3607,36,18,1,1,1
3608,36,18,1,1,1
3609,36,18,1,1,1
3610,36,18,1,1,1
3701,37,3,3,1,1
3702,37,3,3,1,1
3703,37,3,3,1,1
3704,37,3,3,1,1
3705,37,3,3,1,1
3706,37,3,3,1,1
3707,37,3,3,1,1
3708,37,3,3,1,1
3709,37,3,3,1,1
3801,38,3,3,1,1
3802,38,3,3,1,1
3803,38,3,3,1,1
3804,38,3,3,1,1
3805,38,3,3,1,1
3806,38,3,3,1,1
3807,38,3,3,1,1
3808,38,3,3,1,1
3809,38,3,3,1,1
3901,39,2,3,1,1
3902,39,2,3,1,1
3903,39,2,3,1,1
3904,39,2,3,1,1
3905,39,2,3,1,1
3906,39,2,3,1,1
3907,39,2,3,1,1
3908,39,2,3,1,1
3909,39,2,3,1,1
3910,39,2,3,1,1
3911,39,2,3,1,1
3912,39,2,3,1,1
3913,39,2,3,1,1
4001,40,15,2,1,1
4002,40,15,2,1,1
4003,40,15,2,1,1
4004,40,999,999,1,1
4005,40,15,2,1,1
4006,40,15,2,1,1
4007,40,15,2,1,1
4008,40,999,999,1,1
4009,40,999,999,1,1
4010,40,15,2,1,1
